timestamp,TimeS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
1774627427.744463,2675.183192,0,3,489845800,2411,18,0.6,51.4936677,-1.7484931,164.42,0.02657066285610199,289.79888916015625,0.005000000353902578,0.0,1
1774627427.9651918,2675.403921,0,3,489846000,2411,18,0.6,51.4936677,-1.7484931,164.41,0.018027756363153458,33.690067291259766,-0.03200000151991844,0.0,1
1774627428.144489,2675.583218,0,3,489846200,2411,18,0.6,51.4936677,-1.7484931,164.42,0.03178049996495247,347.275634765625,-0.04000000283122063,0.0,1
1774627428.3446689,2675.783398,0,3,489846400,2411,18,0.6,51.4936678,-1.7484931,164.43,0.019209373742341995,321.3402099609375,0.01100000087171793,0.0,1
1774627428.544632,2675.983361,0,3,489846600,2411,18,0.6,51.4936678,-1.7484932,164.43,0.022472206503152847,339.1455383300781,0.020000001415610313,0.0,1
1774627428.744449,2676.183178,0,3,489846800,2411,18,0.6,51.4936679,-1.7484932,164.42,0.032649654895067215,319.9697265625,0.06800000369548798,0.0,1
1774627428.944296,2676.383025,0,3,489847000,2411,18,0.6,51.4936679,-1.7484932,164.43,0.02927456423640251,187.85333251953125,0.003000000026077032,0.0,1
1774627429.144502,2676.583231,0,3,489847200,2411,18,0.6,51.4936679,-1.7484933,164.44,0.015620499849319458,230.19442749023438,-0.08100000023841858,0.0,1
1774627429.344585,2676.783314,0,3,489847400,2411,18,0.6,51.4936679,-1.7484932,164.45,0.01910497434437275,47.121097564697266,-0.00800000037997961,0.0,1
1774627429.544479,2676.983208,0,3,489847600,2411,18,0.6,51.4936679,-1.7484932,164.45,0.022090723738074303,275.1944274902344,-0.03400000184774399,0.0,1
1774627429.744439,2677.183168,0,3,489847800,2411,18,0.6,51.4936679,-1.7484933,164.44,0.021587034687399864,346.6075134277344,0.029000001028180122,0.0,1
1774627429.944668,2677.383397,0,3,489848000,2411,18,0.6,51.4936679,-1.7484932,164.43,0.07184010744094849,16.16449737548828,-0.08700000494718552,0.0,1
1774627430.164306,2677.603035,0,3,489848200,2411,18,0.6,51.493668,-1.7484932,164.45,0.04440721124410629,172.2348175048828,0.039000000804662704,0.0,1
1774627430.344429,2677.783158,0,3,489848400,2411,18,0.6,51.4936679,-1.7484932,164.44,0.02961418591439724,191.6893768310547,0.017000000923871994,0.0,1
1774627430.544335,2677.983064,0,3,489848600,2411,18,0.6,51.4936678,-1.7484933,164.44,0.042379241436719894,250.7099609375,0.03800000250339508,0.0,1
