timestamp,TimeS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
1774627427.565301,2675.00403,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.574776,2675.013505,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.584955,2675.023684,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.594514,2675.033243,9,1785.0,1785.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.605054,2675.043783,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.6148438,2675.053573,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.625,2675.063729,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.634536,2675.073265,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.645007,2675.083736,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.65449,2675.093219,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.665452,2675.104181,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.674782,2675.113511,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.685009,2675.123738,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.695066,2675.133795,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.705092,2675.143821,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.714901,2675.15363,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.725497,2675.164226,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.73456,2675.173289,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.744982,2675.183711,9,1785.0,1785.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.755126,2675.193855,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.765297,2675.204026,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.77452,2675.213249,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.785009,2675.223738,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.794726,2675.233455,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.805115,2675.243844,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.814554,2675.253283,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.824933,2675.263662,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.834805,2675.273534,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.845037,2675.283766,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.8545659,2675.293295,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.865272,2675.304001,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.8748,2675.313529,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.884976,2675.323705,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.894496,2675.333225,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.904928,2675.343657,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.914949,2675.353678,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.9254339,2675.364163,9,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
1774627427.934489,2675.373218,9,1771.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0
