TimeS,MagField,Throttle
2675.003726,499.42166552923993,5.0
2675.103502,499.42166552923993,5.0
2675.203653,499.7889554602022,5.0
2675.30327,499.42166552923993,5.0
2675.403956,499.42166552923993,5.0
2675.503181,499.42166552923993,5.0
2675.603671,499.42166552923993,5.0
2675.703186,499.42166552923993,5.0
2675.803431,499.42166552923993,5.0
2675.903369,499.42166552923993,5.0
2676.00336,499.7889554602022,5.0
2676.10314,499.42166552923993,5.0
2676.203333,499.42166552923993,5.0
2676.303159,500.6136234662417,5.0
2676.403375,500.2969118433573,5.0
2676.503028,500.9800395225343,5.0
2676.603105,499.61685319852853,5.0
2676.70335,498.89177183032393,5.0
2676.803033,498.9398761373959,5.0
2676.90318,498.89177183032393,5.0
2677.003043,498.9398761373959,5.0
2677.103185,499.25344265212635,5.0
2677.20298,500.13098284349473,5.0
2677.303178,499.25344265212635,5.0
2677.402938,499.25344265212635,5.0
2677.503377,499.25344265212635,5.0
2677.603109,498.9398761373959,5.0
2677.703393,498.89177183032393,5.0
2677.80321,498.89177183032393,5.0
2677.903151,498.89177183032393,5.0
2678.00287,499.30351490851734,0.0
2678.103067,499.25344265212635,0.0
2678.202898,500.13098284349473,0.0
2678.303003,499.61685319852853,0.0
2678.402854,499.25344265212635,0.0
2678.503056,499.25344265212635,0.0
2678.602826,500.13098284349473,0.0
2678.70307,498.89177183032393,0.0
2678.802886,498.9398761373959,0.0
2678.903054,498.89177183032393,0.0
2679.002774,499.25344265212635,0.0
2679.103025,499.25344265212635,0.0
2679.202824,500.13098284349473,0.0
2679.303206,499.25344265212635,0.0
2679.402781,500.13098284349473,0.0
2679.503247,499.25344265212635,0.0
2679.602757,499.25344265212635,0.0
2679.703199,499.25344265212635,0.0
2679.802938,498.9398761373959,0.0
2679.903137,499.30351490851734,0.0
2680.002745,500.13098284349473,0.0
2680.10314,499.25344265212635,0.0
2680.202792,500.13098284349473,0.0
2680.303156,499.25344265212635,0.0
2680.402624,499.25344265212635,0.0
2680.503015,499.25344265212635,0.0
2680.602925,499.25344265212635,0.0
2680.70286,499.25344265212635,0.0
2680.802642,499.30351490851734,0.0
2680.90309,499.25344265212635,0.0
2681.002638,499.25344265212635,0.0
2681.102847,499.61685319852853,0.0
2681.20287,500.13098284349473,0.0
