TimeS,MagField,Throttle
2675.003726,565.2521561214959,5.0
2675.103502,562.8658810054133,5.0
2675.203653,551.6384685643307,5.0
2675.30327,564.9168080345991,5.0
2675.403956,561.2744426748825,5.0
2675.503181,570.0736794485429,5.0
2675.603671,555.955034152943,5.0
2675.703186,568.2649030161901,5.0
2675.803431,560.6077059762914,5.0
2675.903369,579.2943983847937,5.0
2676.00336,583.6754235017952,5.0
2676.10314,570.647001218792,5.0
2676.203333,576.9306717448814,5.0
2676.303159,574.0252607682,5.0
2676.403375,558.3233829959122,5.0
2676.503028,581.1488621687218,5.0
2676.603105,571.991258674466,5.0
2676.70335,573.1928122368598,5.0
2676.803033,568.5217673932987,5.0
2676.90318,562.9085183224713,5.0
2677.003043,572.8018854717571,5.0
2677.103185,567.3746557610765,5.0
2677.20298,567.7340926877653,5.0
2677.303178,554.626000111787,5.0
2677.402938,557.2728236689817,5.0
2677.503377,557.2647485710899,5.0
2677.603109,565.6721665417169,5.0
2677.703393,551.3356509423276,5.0
2677.80321,565.4820952072665,5.0
2677.903151,566.8236057187456,5.0
2678.00287,582.9185191774233,0.0
2678.103067,575.8680404398216,0.0
2678.202898,562.4891110057154,0.0
2678.303003,581.3475724555835,0.0
2678.402854,565.8338978887709,0.0
2678.503056,565.2203110292481,0.0
2678.602826,571.7446982701283,0.0
2678.70307,555.9982014359399,0.0
2678.802886,573.4762418792953,0.0
2678.903054,563.958331794114,0.0
2679.002774,566.8932880181243,0.0
2679.103025,564.8530782424754,0.0
2679.202824,571.1759798871097,0.0
2679.303206,554.3987734474166,0.0
2679.402781,563.6993879719935,0.0
2679.503247,571.3571562516742,0.0
2679.602757,571.8443844263927,0.0
2679.703199,561.7641854016683,0.0
2679.802938,561.6858552607498,0.0
2679.903137,574.8364984932672,0.0
2680.002745,559.5453511557397,0.0
2680.10314,571.0043782669271,0.0
2680.202792,569.0,0.0
2680.303156,580.5953840670799,0.0
2680.402624,575.0565189613974,0.0
2680.503015,576.584772605035,0.0
