freq_x,pre_x,post_x,freq_y,pre_y,post_y,freq_z,pre_z,post_z
0.0,-26.43560179222534,-26.43560179222534,0.0,-32.668575527365334,-32.668575527365334,0.0,-38.16076314572596,-38.16076314572596
1.9591544866561887,-18.587575527165278,-18.5893596203682,1.9591544866561887,-24.71641640730983,-24.718200306817565,1.9591544866561887,-21.338805855150326,-21.340589877937667
3.9183089733123775,-22.120630467157373,-22.127916049159076,3.9183089733123775,-28.384812416070435,-28.39209677275822,3.9183089733123775,-24.587868411752787,-24.5951536129008
5.877463459968566,-27.35243445586452,-27.369387418865195,5.877463459968566,-33.043870550097665,-33.06081894929436,5.877463459968566,-30.127240376128114,-30.144191483353314
7.836617946624755,-31.930336420984492,-31.96187498126924,7.836617946624755,-36.69725275115639,-36.72877993862323,7.836617946624755,-32.27259097801504,-32.30412891319195
9.795772433280943,-34.323509034581996,-34.37562079534824,9.795772433280943,-39.64062001150777,-39.69270314901327,9.795772433280943,-34.532264524503745,-34.58437546070752
11.754926919937132,-36.00487016978019,-36.08493429997641,11.754926919937132,-40.57451538104538,-40.654535677753685,11.754926919937132,-36.00080525154919,-36.08086941136893
13.714081406593321,-37.2877524903686,-37.40487719110972,13.714081406593321,-39.50571704447498,-39.62281044077094,13.714081406593321,-37.624603094637365,-37.74172354028113
15.67323589324951,-38.30409310175279,-38.469468452273425,15.67323589324951,-39.52010547899568,-39.685455089186135,15.67323589324951,-38.662619573395396,-38.82798770558355
17.632390379905697,-39.16342845737453,-39.39069646825459,17.632390379905697,-39.188794338592665,-39.416061586621474,17.632390379905697,-39.69897799669249,-39.926229418871046
19.591544866561886,-39.3350856146936,-39.64075813369999,19.591544866561886,-35.947206600990036,-36.25299521668296,19.591544866561886,-39.926535139398986,-40.23218232907452
21.550699353218075,-38.9225933142502,-39.326471548423,21.550699353218075,-35.272494334879234,-35.67652884838195,21.550699353218075,-39.46836669116624,-39.87221538728155
23.509853839874264,-39.1504513377446,-39.67601804430678,23.509853839874264,-38.81848303979238,-39.34407272536448,23.509853839874264,-38.73800556359101,-39.263600688847916
25.469008326530453,-39.79194249233627,-40.46693668581216,25.469008326530453,-38.52152078108314,-39.19663129266845,25.469008326530453,-38.70496752381286,-39.380062271682334
27.428162813186642,-39.432432963962725,-40.289642418073896,27.428162813186642,-35.153915586696,-36.01153449448739,27.428162813186642,-37.69821703547814,-38.555617016358134
29.38731729984283,-36.83617340403699,-37.914328573378306,29.38731729984283,-31.211969562619217,-32.290598741624386,29.38731729984283,-35.86603230666236,-36.94429256772506
31.34647178649902,-37.78957444316526,-39.133495600297216,31.34647178649902,-32.84433027945552,-34.18886151453175,31.34647178649902,-38.149435820235496,-39.49329753106503
33.305626273155205,-40.22166350106295,-41.8844432971171,33.305626273155205,-37.0090738845997,-38.672578779455044,33.305626273155205,-41.32288432458866,-42.98534712466758
35.264780759811394,-40.69455547757685,-42.74050786911679,35.264780759811394,-39.58675391012579,-41.63307963165582,35.264780759811394,-42.5399495242268,-44.58516393623058
37.22393524646758,-40.93541452954801,-43.442298733549976,37.22393524646758,-41.248326905333016,-43.75506298995361,37.22393524646758,-43.64953410076991,-46.15493729840887
39.18308973312377,-40.86682602109843,-43.931038515316814,39.18308973312377,-40.99585023658152,-44.05998693021288,39.18308973312377,-43.874839309945266,-46.936955909851115
41.14224421977996,-40.5589845817635,-44.302784112356896,41.14224421977996,-40.943560203122814,-44.687077846408,41.14224421977996,-43.150535767879035,-46.892170810869516
43.10139870643615,-40.64507218885068,-45.22712966635968,43.10139870643615,-42.76708625120054,-47.34690007899032,43.10139870643615,-42.4895475414838,-47.06968685598519
45.06055319309234,-40.07159277197283,-45.70552033416484,45.06055319309234,-45.076838757546234,-50.70299693751129,45.06055319309234,-42.03001879294318,-47.66142429106765
47.01970767974853,-39.2310750293862,-46.21185252886971,47.01970767974853,-45.908989463590125,-52.875620834279296,47.01970767974853,-42.232178409283314,-49.20790814368341
48.97886216640472,-37.15348406000988,-45.906608423744835,48.97886216640472,-48.03010667377993,-56.74938439981524,48.97886216640472,-43.61884463709955,-52.35698004004776
50.938016653060906,-38.440351728538424,-49.604078034245724,50.938016653060906,-49.470551501899095,-60.573862030459466,50.938016653060906,-45.17809350206492,-56.31411064018238
52.897171139717095,-39.29833621596449,-53.96322440696649,52.897171139717095,-49.57584246585344,-64.14147063923595,52.897171139717095,-46.69072533877204,-61.2966564533225
54.856325626373284,-40.00754398460113,-60.54733532239815,54.856325626373284,-49.607146924552836,-69.93828636218608,54.856325626373284,-47.35588531463268,-67.75768835486116
56.81548011302947,-40.68572450633158,-81.6929301291091,56.81548011302947,-49.8000984242697,-88.6710487030463,56.81548011302947,-48.13129376582326,-87.52722007701297
58.77463459968566,-40.345540126350116,-63.59561377231945,58.77463459968566,-49.07013050914352,-72.0600007890842,58.77463459968566,-48.43990200070668,-71.45812756038839
60.73378908634185,-39.60930388969586,-57.275273710889465,60.73378908634185,-49.859556391422934,-67.37174033067161,60.73378908634185,-49.22544074511302,-66.75313012976255
62.69294357299804,-39.84470960884589,-54.77596523527957,62.69294357299804,-49.95802800068168,-64.78254142513084,62.69294357299804,-49.68202953069721,-64.51136792508389
64.65209805965422,-39.74112820540803,-53.10741280073313,64.65209805965422,-49.32074511936492,-62.60991317430528,64.65209805965422,-49.82238502055668,-63.10472349763189
66.61125254631041,-40.40684859409516,-52.84543086991391,66.61125254631041,-50.61610600574489,-62.97401572464273,66.61125254631041,-49.60263790329723,-61.97334938110353
68.5704070329666,-39.86403075583227,-51.780242064983604,68.5704070329666,-50.465866831869484,-62.30740429896714,68.5704070329666,-47.8410294017181,-59.710119114556335
70.52956151962279,-40.131701180611536,-51.79209830524356,70.52956151962279,-49.55102244173968,-61.150716100622525,70.52956151962279,-46.536459296980425,-58.16299360449317
72.48871600627898,-41.62068241348388,-53.21185191081671,72.48871600627898,-49.702717240607384,-61.237944302404934,72.48871600627898,-46.770212184054486,-58.33186122963057
74.44787049293517,-39.86283637958618,-51.5391428392008,74.44787049293517,-49.200995051317655,-60.819125034488586,74.44787049293517,-46.49781894848693,-58.13952135735469
76.40702497959136,-37.73750789084881,-49.608801091413724,76.40702497959136,-44.41594600824294,-56.25904886737436,76.40702497959136,-42.618578242661215,-54.471493131191984
78.36617946624754,-38.69008266857856,-50.83574043076004,78.36617946624754,-44.06332499985781,-56.18469549886355,78.36617946624754,-42.80420621131515,-54.932674277513165
80.32533395290373,-42.618829843073385,-55.09996771617846,80.32533395290373,-44.91552966657302,-57.38245118023612,80.32533395290373,-44.27271320467696,-56.743996928480875
82.28448843955992,-44.11816360270458,-57.008738904966776,82.28448843955992,-45.461898553497626,-58.34253776980715,82.28448843955992,-45.74627465682375,-58.62460830488673
84.24364292621611,-44.38342946242696,-57.75340761804272,84.24364292621611,-45.952880015731,-59.309843980273946,84.24364292621611,-47.35149703808999,-60.69472754830116
86.2027974128723,-44.653782610722686,-58.56520090335842,86.2027974128723,-47.74351551245342,-61.623632321765704,86.2027974128723,-49.1195083703742,-62.981725711026264
88.16195189952849,-43.93348324769114,-58.45951883164606,88.16195189952849,-50.33682922093611,-64.78283653089451,88.16195189952849,-49.91315020617418,-64.36643196950686
90.12110638618468,-43.86119176855429,-59.06662957661983,90.12110638618468,-52.81130203543192,-67.87291623321245,90.12110638618468,-49.17084756798458,-64.30872961485987
92.08026087284087,-45.667567666312664,-61.609240460216206,92.08026087284087,-53.70345145179458,-69.479679653032,92.08026087284087,-49.50518715816352,-65.38611719052598
94.03941535949706,-46.0408233868577,-62.82098076887632,94.03941535949706,-54.272830790741644,-70.85251434981066,94.03941535949706,-49.94016142636572,-66.64788482294183
95.99856984615325,-47.36690667339032,-65.07070218244793,95.99856984615325,-55.339922735951504,-72.79283768329785,95.99856984615325,-50.08946838441954,-67.731187012028
97.95772433280943,-49.14000116584106,-67.86880803389742,97.95772433280943,-55.736830879820936,-74.19955751233427,97.95772433280943,-49.4467717631845,-68.16704115564133
99.91687881946562,-49.82583700174392,-69.74529480397074,99.91687881946562,-56.05395886523568,-75.66453531699803,99.91687881946562,-48.88840856854561,-68.83860564822889
101.87603330612181,-50.634721776272684,-71.91637881523802,101.87603330612181,-55.97811770691871,-76.93319483884557,101.87603330612181,-48.28870101310197,-69.663528530687
103.835187792778,-51.86320574458507,-74.70290141778455,103.835187792778,-56.382185069926926,-78.85548543900002,103.835187792778,-48.8144593578718,-71.81801005333978
105.79434227943419,-52.51499338678763,-77.2343278932942,105.79434227943419,-55.767069054336716,-80.15438266647813,105.79434227943419,-49.87569285356954,-74.79254254181085
107.75349676609038,-53.082658843002186,-80.10433106645321,107.75349676609038,-55.638563345325196,-82.30745770286605,107.75349676609038,-50.38208936500123,-77.68962502210042
109.71265125274657,-53.38611104760695,-83.40024765159035,109.71265125274657,-56.24414419732922,-85.67106070270883,109.71265125274657,-50.19137068916856,-80.69911586939128
111.67180573940276,-54.053172537400265,-88.17117299205489,111.67180573940276,-55.160583421286574,-88.91442664136434,111.67180573940276,-50.489485221762145,-85.58041660965631
113.63096022605895,-54.70706019473443,-95.81917321120474,113.63096022605895,-53.91536863136241,-95.62923427546487,113.63096022605895,-49.607074196196976,-94.34425719148271
115.59011471271513,-54.71593226774584,-91.16261148769793,115.59011471271513,-53.25287830012578,-90.32280027488086,115.59011471271513,-48.96578050978407,-87.52906823322853
117.54926919937132,-54.304601750205634,-86.73675215454212,117.54926919937132,-52.89928464372977,-85.68340760089549,117.54926919937132,-49.177338694578765,-82.70526542773509
119.50842368602751,-53.969338701058916,-83.96616282415862,119.50842368602751,-52.60041628357718,-82.84343478330553,119.50842368602751,-48.31530474080467,-79.14753715419951
121.4675781726837,-53.719348488970326,-82.06609807310743,121.4675781726837,-53.10159842532451,-81.54001735897602,121.4675781726837,-47.480885311176635,-76.53636785216085
123.42673265933989,-53.29877925654547,-80.50704704090393,123.42673265933989,-52.9295314242849,-80.18385038638871,123.42673265933989,-46.85142890389346,-74.65806166082426
125.38588714599608,-53.5337888962801,-79.85680755676375,125.38588714599608,-52.85691144367327,-79.25666848504422,125.38588714599608,-46.86605865218719,-73.75312909537867
127.34504163265227,-52.39199157188403,-78.2260974144303,127.34504163265227,-52.89028229568167,-78.67484012370012,127.34504163265227,-45.86828462899577,-72.15862041478128
129.30419611930844,-51.272111395390134,-76.7822350472155,129.30419611930844,-53.532050781874226,-78.83348459236707,129.30419611930844,-45.82552031309852,-71.67322158992648
131.26335060596463,-51.94367656750223,-77.12929498611003,131.26335060596463,-53.44984211742488,-78.49675485513038,131.26335060596463,-46.936913070558205,-72.45221379958872
133.22250509262082,-50.01036983831586,-75.20325483896488,133.22250509262082,-50.74856727108913,-75.88918417753212,133.22250509262082,-45.21805086190032,-70.66524409663245
135.181659579277,-48.094918409612994,-73.37547273643513,135.181659579277,-49.66790773748926,-74.85392794085249,135.181659579277,-43.631196682642546,-69.10630387933294
137.1408140659332,-47.01227649387978,-72.41891374216442,137.1408140659332,-47.928543372661494,-73.28757913702759,137.1408140659332,-41.85889683605977,-67.45968285767995
139.0999685525894,-48.273758466211675,-73.77254128866689,139.0999685525894,-49.15803517898275,-74.6031946704287,139.0999685525894,-42.47572991452998,-68.22246005824216
141.05912303924558,-48.2007804037319,-73.94634200532182,141.05912303924558,-48.75624476650308,-74.46800426056836,141.05912303924558,-43.88286400164975,-69.8316766147492
143.01827752590177,-44.81991088502479,-71.06180618579907,143.01827752590177,-44.2707834629974,-70.53529336590401,143.01827752590177,-42.25649672644393,-68.59312057450212
144.97743201255795,-43.07492773259327,-69.7980216176044,144.97743201255795,-42.82374386317735,-69.55594941945566,144.97743201255795,-41.162200397680415,-67.94867227953345
146.93658649921414,-45.304908411611265,-72.42650863384314,146.93658649921414,-45.68935110944012,-72.79135286796145,146.93658649921414,-44.02283897170339,-71.20413991829676
148.89574098587033,-42.365406620128255,-70.19901011407727,148.89574098587033,-44.19053904775598,-71.94581650365552,148.89574098587033,-42.088453174932965,-69.93262265082762
150.85489547252652,-40.522435347043,-69.10748754392776,150.85489547252652,-43.01808214177163,-71.50460770832484,150.85489547252652,-40.659401019120295,-69.23972307472116
152.8140499591827,-41.05606624297891,-70.413730310081,152.8140499591827,-43.88909162145531,-73.1138936994723,152.8140499591827,-42.30468853715003,-71.60884577234187
154.7732044458389,-43.60365740353573,-73.74297341251791,154.7732044458389,-47.23392938779598,-77.11201803930147,154.7732044458389,-45.4807731913889,-75.49765222557599
