timestamp,TimeS,Vcc,VServo,Flags,AccFlags,Safety
1774627427.565142,2675.003871,5.158868312835693,5.021318435668945,1,17,6
1774627427.6649299,2675.103659,5.194921970367432,5.021318435668945,1,17,6
1774627427.7651289,2675.203858,5.194418430328369,5.016483306884766,1,17,6
1774627427.8646939,2675.303423,5.181326389312744,5.023736000061035,1,17,6
1774627427.965407,2675.404136,5.188778400421143,5.023736000061035,1,17,6
1774627428.0646598,2675.503389,5.164709568023682,5.030988693237305,1,17,6
1774627428.165086,2675.603815,5.19049072265625,5.009230613708496,1,17,6
1774627428.2646859,2675.703415,5.165716648101807,5.021318435668945,1,17,6
1774627428.3648949,2675.803624,5.1789093017578125,5.004395484924316,1,17,6
1774627428.4648259,2675.903555,5.1779022216796875,5.023736000061035,1,17,6
1774627428.5648239,2676.003553,5.169744968414307,5.023736000061035,1,17,6
1774627428.664553,2676.103282,5.160177707672119,5.009230613708496,1,17,6
1774627428.7647269,2676.203456,5.201467990875244,5.014065742492676,1,17,6
1774627428.864603,2676.303332,5.173974514007568,5.0189008712768555,1,17,2
1774627428.964796,2676.403525,5.180319309234619,5.016483306884766,1,17,2
1774627429.064534,2676.503263,5.125433444976807,5.021318435668945,1,17,2
1774627429.164613,2676.603342,5.181829929351807,5.016483306884766,1,17,2
1774627429.264778,2676.703507,5.193713188171387,5.026153564453125,1,17,2
1774627429.364538,2676.803267,5.177398681640625,5.023736000061035,1,17,2
1774627429.4646869,2676.903416,5.194418430328369,5.016483306884766,1,17,2
1774627429.564466,2677.003195,5.205596923828125,5.026153564453125,1,17,2
1774627429.6646569,2677.103386,5.195929050445557,5.026153564453125,1,17,2
1774627429.764404,2677.203133,5.193612575531006,5.021318435668945,1,17,2
1774627429.864609,2677.303338,5.176995754241943,5.023736000061035,1,17,2
1774627429.964405,2677.403134,5.177398681640625,5.016483306884766,1,17,2
1774627430.0648549,2677.503584,5.183541774749756,5.021318435668945,1,17,2
1774627430.164507,2677.603236,5.1879730224609375,5.023736000061035,1,17,2
1774627430.264881,2677.70361,5.196633815765381,5.028571128845215,1,17,2
1774627430.3646278,2677.803357,5.201467990875244,5.006813049316406,1,17,2
1774627430.464563,2677.903292,5.2121429443359375,5.028571128845215,1,17,2
1774627430.564292,2678.003021,5.2101287841796875,5.021318435668945,1,17,2
1774627430.664536,2678.103265,5.180721759796143,5.011648178100586,1,17,2
1774627430.764322,2678.203051,5.198446750640869,5.011648178100586,1,17,2
1774627430.864405,2678.303134,5.173168659210205,5.021318435668945,1,17,2
1774627430.9642909,2678.40302,5.1844482421875,5.026153564453125,1,17,2
1774627431.064529,2678.503258,5.183441162109375,5.021318435668945,1,17,2
1774627431.1642299,2678.602959,5.179312229156494,5.023736000061035,1,17,2
1774627431.2645,2678.703229,5.191598415374756,5.011648178100586,1,17,2
1774627431.3643138,2678.803043,5.206201076507568,5.021318435668945,1,17,2
1774627431.464475,2678.903204,5.200964450836182,5.021318435668945,1,17,2
1774627431.564256,2679.002985,5.214962482452393,5.021318435668945,1,17,2
1774627431.664489,2679.103218,5.193310260772705,5.030988693237305,1,17,2
1774627431.76431,2679.203039,5.182131767272949,5.016483306884766,1,17,2
1774627431.864619,2679.303348,5.181326389312744,5.021318435668945,1,17,2
1774627431.964208,2679.402937,5.161990165710449,5.014065742492676,1,17,2
1774627432.064664,2679.503393,5.198647975921631,5.016483306884766,1,17,2
1774627432.164173,2679.602902,5.206503391265869,5.021318435668945,1,17,2
1774627432.264616,2679.703345,5.183441162109375,5.014065742492676,1,17,2
1774627432.3643699,2679.803099,5.190087795257568,5.028571128845215,1,17,2
1774627432.4646559,2679.903385,5.198245048522949,5.014065742492676,1,17,6
1774627432.564163,2680.002892,5.169140338897705,5.026153564453125,1,17,6
1774627432.6646059,2680.103335,5.163400173187256,5.011648178100586,1,17,6
1774627432.7642229,2680.202952,5.199957370758057,5.016483306884766,1,17,6
1774627432.864553,2680.303282,5.193209648132324,5.011648178100586,1,17,6
