timestamp,TimeS,Inst,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct,H,SH
1774627427.565155,2675.003884,0,23.29772186279297,23.30191993713379,0.011847002431750298,28.375179290771484,0.6696350574493408,0.0,0.3544255495071411,98,1,0
1774627427.664943,2675.103672,0,23.303836822509766,23.308242797851562,0.01244939211755991,28.375524520874023,0.6696431040763855,0.0,0.3539244830608368,98,1,0
1774627427.7651699,2675.203899,0,23.29281997680664,23.31485939025879,0.062246959656476974,28.377256393432617,0.6696834564208984,0.0,0.35405465960502625,98,1,0
1774627427.864707,2675.303436,0,23.300203323364258,23.306459426879883,0.017670106142759323,28.377744674682617,0.6696948409080505,0.0,0.35405465960502625,98,1,0
1774627427.96542,2675.404149,0,23.298690795898438,23.305160522460938,0.01827249675989151,28.37825584411621,0.6697067618370056,0.0,0.35405465960502625,98,1,0
1774627428.064676,2675.503405,0,23.298959732055664,23.32632827758789,0.0774182677268982,28.380390167236328,0.6697564721107483,0.0,0.35350900888442993,98,1,0
1774627428.165099,2675.603828,0,23.293546676635742,23.298870086669922,0.015059749595820904,28.380809783935547,0.6697662472724915,0.0,0.35350900888442993,98,1,0
1774627428.2647328,2675.703462,0,23.2962703704834,23.30649185180664,0.028914716094732285,28.381610870361328,0.6697849035263062,0.0,0.35350900888442993,98,1,0
1774627428.364908,2675.803637,0,23.297542572021484,23.302581787109375,0.014256561174988747,28.382007598876953,0.6697941422462463,0.0,0.35350900888442993,98,1,0
1774627428.46484,2675.903569,0,23.300445556640625,23.306617736816406,0.017469309270381927,28.382492065429688,0.6698054671287537,0.0,0.3533461093902588,98,1,0
1774627428.564838,2676.003567,0,23.28646469116211,23.37750244140625,0.25983086228370667,28.38970947265625,0.6699735522270203,0.0,0.3503721356391907,98,1,0
1774627428.664566,2676.103295,0,23.30171775817871,23.308530807495117,0.019477274268865585,28.390249252319336,0.6699861288070679,0.0,0.3498331606388092,98,1,0
1774627428.764767,2676.203496,0,23.297420501708984,23.302968978881836,0.01586293615400791,28.39069175720215,0.669996440410614,0.0,0.3498331606388092,98,1,0
1774627428.864618,2676.303347,0,23.3477783203125,23.361764907836914,0.03975773602724075,28.391794204711914,0.670022189617157,0.0,0.3518066108226776,98,1,0
1774627428.9648108,2676.40354,0,23.33724594116211,23.344257354736328,0.019878868013620377,28.39234733581543,0.6700351238250732,0.0,0.35268959403038025,98,1,0
1774627429.064549,2676.503278,0,23.337093353271484,23.34726905822754,0.028780853375792503,28.393144607543945,0.6700537204742432,0.0,0.35355404019355774,98,1,0
1774627429.164628,2676.603357,0,23.345840454101562,23.35495376586914,0.02570197358727455,28.39385986328125,0.6700704097747803,0.0,0.35460618138313293,98,1,0
1774627429.264796,2676.703525,0,23.349472045898438,23.357254028320312,0.021886833012104034,28.394468307495117,0.6700846552848816,0.0,0.355581134557724,98,1,0
1774627429.364554,2676.803283,0,23.332706451416016,23.395824432373047,0.17750424146652222,28.39938735961914,0.670199453830719,0.0,0.355581134557724,98,1,0
1774627429.464702,2676.903431,0,23.355825424194336,23.368064880371094,0.03433622792363167,28.40034294128418,0.670221745967865,0.0,0.35644644498825073,98,1,0
1774627429.564481,2677.00321,0,23.356916427612305,23.36638069152832,0.026505157351493835,28.401077270507812,0.6702389121055603,0.0,0.357092946767807,98,1,0
1774627429.664672,2677.103401,0,23.34360122680664,23.39314842224121,0.13875049352645874,28.404939651489258,0.6703290343284607,0.0,0.357092946767807,98,1,0
1774627429.76442,2677.203149,0,23.342754364013672,23.350418090820312,0.021485241129994392,28.405534744262695,0.6703429222106934,0.0,0.3566553294658661,98,1,0
1774627429.864699,2677.303428,0,23.334522247314453,23.354503631591797,0.056022267788648605,28.407094955444336,0.6703793406486511,0.0,0.3566553294658661,98,1,0
1774627429.9644399,2677.403169,0,23.341785430908203,23.354671478271484,0.03614339604973793,28.408096313476562,0.6704027056694031,0.0,0.356507271528244,98,1,0
1774627430.064869,2677.503598,0,23.340789794921875,23.348894119262695,0.022756952792406082,28.40873146057129,0.6704175472259521,0.0,0.35613366961479187,98,1,0
1774627430.164522,2677.603251,0,23.347597122192383,23.360977172851562,0.03754897788167,28.409770965576172,0.6704418063163757,0.0,0.3563467264175415,98,1,0
1774627430.2648969,2677.703626,0,23.35516357421875,23.363327026367188,0.022890817373991013,28.410409927368164,0.6704567074775696,0.0,0.35662585496902466,98,1,0
